由邢不行整理，2020新版|Python数字货币量化投资课程示例文件
candle_begin_time,open,high,low,close,volume
2020-03-02 15:44:00+00:00,8796.6,8796.7,8787.8,8793.5,125.53701235
2020-03-02 15:45:00+00:00,8793.6,8793.9,8782.4,8783.5,66.67098377
2020-03-02 15:46:00+00:00,8782.8,8791.1,8778.1,8790.3,63.40542393
2020-03-02 15:47:00+00:00,8790.4,8793.1,8788.8,8793.1,13.88431093
2020-03-02 15:48:00+00:00,8793.1,8798.3,8793.0,8797.7,30.61234723
2020-03-02 15:49:00+00:00,8797.7,8799.0,8797.1,8798.6,13.11987796
2020-03-02 15:50:00+00:00,8798.8,8820.4,8798.8,8815.6,77.5305464
2020-03-02 15:51:00+00:00,8815.6,8827.9,8815.1,8822.8,35.46950287
2020-03-02 15:52:00+00:00,8823.4,8828.6,8818.9,8825.9,52.04897332
2020-03-02 15:53:00+00:00,8825.8,8827.0,8818.9,8823.1,52.2843807
2020-03-02 15:54:00+00:00,8823.1,8824.1,8819.0,8820.4,51.09828863
2020-03-02 15:55:00+00:00,8820.2,8827.2,8820.2,8825.5,26.08747028
2020-03-02 15:56:00+00:00,8825.6,8826.1,8819.9,8823.3,30.13888814
2020-03-02 15:57:00+00:00,8823.3,8823.4,8819.1,8819.1,25.4102523
2020-03-02 15:58:00+00:00,8819.1,8840.0,8819.1,8834.1,86.65742145
2020-03-02 15:59:00+00:00,8834.0,8834.0,8826.0,8831.0,25.43756079
2020-03-02 16:00:00+00:00,8831.0,8838.8,8830.2,8830.9,60.25616392
2020-03-02 16:01:00+00:00,8831.0,8832.4,8823.4,8827.2,34.67541707
2020-03-02 16:02:00+00:00,8827.2,8843.5,8827.2,8839.5,51.01941944
2020-03-02 16:03:00+00:00,8839.7,8861.0,8839.7,8844.7,120.02980684
2020-03-02 16:04:00+00:00,8844.8,8855.4,8841.8,8853.9,27.93560462
2020-03-02 16:05:00+00:00,8853.9,8856.9,8840.0,8842.4,41.74492361
2020-03-02 16:06:00+00:00,8840.7,8842.3,8832.9,8836.4,45.93417356
2020-03-02 16:07:00+00:00,8836.3,8848.8,8834.7,8843.3,27.80787733
2020-03-02 16:08:00+00:00,8843.8,8846.6,8840.6,8846.6,18.67470475
2020-03-02 16:09:00+00:00,8846.6,8847.1,8840.5,8840.5,9.90882073
2020-03-02 16:10:00+00:00,8840.6,8848.9,8840.6,8848.9,55.52633015
2020-03-02 16:11:00+00:00,8848.9,8851.1,8845.7,8849.1,75.44540965
2020-03-02 16:12:00+00:00,8849.0,8849.1,8839.7,8839.8,33.18871152
2020-03-02 16:13:00+00:00,8839.7,8842.1,8839.7,8841.0,84.41602559
2020-03-02 16:14:00+00:00,8841.0,8858.5,8840.9,8857.0,34.73016629
2020-03-02 16:15:00+00:00,8857.0,8863.6,8856.9,8861.8,21.08770983
2020-03-02 16:16:00+00:00,8861.8,8863.3,8848.5,8850.1,37.19950854
2020-03-02 16:17:00+00:00,8850.1,8852.7,8849.0,8850.2,14.3950408
2020-03-02 16:18:00+00:00,8850.3,8852.4,8837.9,8839.9,44.19065336
2020-03-02 16:19:00+00:00,8840.0,8846.2,8838.8,8844.1,28.08931859
2020-03-02 16:20:00+00:00,8844.1,8844.2,8839.3,8840.4,8.26769452
2020-03-02 16:21:00+00:00,8839.9,8839.9,8830.8,8835.6,28.87507976
2020-03-02 16:22:00+00:00,8835.6,8836.5,8831.2,8835.4,41.17169669
2020-03-02 16:23:00+00:00,8835.5,8848.2,8835.5,8846.8,51.33363706
2020-03-02 16:24:00+00:00,8846.8,8858.0,8846.4,8856.3,48.0351925
2020-03-02 16:25:00+00:00,8856.7,8857.9,8852.3,8854.2,32.53284998
2020-03-02 16:26:00+00:00,8854.2,8867.2,8852.5,8858.4,59.94110722
2020-03-02 16:27:00+00:00,8858.5,8864.6,8857.5,8863.6,38.99542254
2020-03-02 16:28:00+00:00,8864.4,8866.9,8852.8,8865.0,17.88136413
2020-03-02 16:29:00+00:00,8864.3,8865.5,8858.7,8858.7,16.76822861
2020-03-02 16:30:00+00:00,8858.8,8876.8,8858.8,8876.8,37.07109661
2020-03-02 16:31:00+00:00,8876.8,8876.9,8863.6,8864.2,27.25747047
2020-03-02 16:32:00+00:00,8864.2,8874.7,8864.2,8865.1,88.90569920000002
2020-03-02 16:33:00+00:00,8865.1,8865.1,8857.8,8864.6,25.08152458
2020-03-02 16:34:00+00:00,8864.5,8873.7,8861.9,8871.1,35.21167243
2020-03-02 16:35:00+00:00,8871.2,8871.6,8858.8,8861.0,48.7987353
2020-03-02 16:36:00+00:00,8861.0,8861.1,8841.6,8841.6,53.23921331
2020-03-02 16:37:00+00:00,8841.6,8850.1,8841.6,8845.3,38.73129442
2020-03-02 16:38:00+00:00,8845.4,8855.8,8844.1,8852.7,60.79382317
2020-03-02 16:39:00+00:00,8852.7,8852.9,8845.0,8845.0,30.95069366
2020-03-02 16:40:00+00:00,8845.0,8849.0,8841.8,8849.0,43.6464826
2020-03-02 16:41:00+00:00,8849.0,8849.9,8839.2,8841.3,38.534827
2020-03-02 16:42:00+00:00,8840.5,8864.7,8839.8,8863.4,45.93968938
2020-03-02 16:43:00+00:00,8863.3,8868.4,8861.5,8864.8,70.25756329999999
2020-03-02 16:44:00+00:00,8864.7,8873.0,8862.4,8864.4,26.08364331
2020-03-02 16:45:00+00:00,8864.4,8864.4,8854.3,8855.9,26.82471186
2020-03-02 16:46:00+00:00,8855.9,8863.6,8855.9,8857.7,20.72081722
2020-03-02 16:47:00+00:00,8857.5,8861.1,8853.6,8859.8,38.45529986
2020-03-02 16:48:00+00:00,8859.8,8862.7,8855.7,8855.7,26.53395353
2020-03-02 16:49:00+00:00,8855.7,8862.5,8855.0,8862.5,9.55570465
2020-03-02 16:50:00+00:00,8862.4,8866.8,8861.3,8866.7,29.12081573
2020-03-02 16:51:00+00:00,8866.7,8871.0,8866.4,8867.7,15.23934893
2020-03-02 16:52:00+00:00,8867.7,8870.9,8854.9,8855.0,34.93417534
2020-03-02 16:53:00+00:00,8855.2,8857.8,8850.4,8850.4,17.73681721
2020-03-02 16:54:00+00:00,8850.5,8854.5,8846.2,8853.7,17.44256825
2020-03-02 16:55:00+00:00,8853.7,8853.7,8850.0,8850.0,17.635625100000002
2020-03-02 16:56:00+00:00,8850.0,8859.1,8850.0,8853.4,41.36754614
2020-03-02 16:57:00+00:00,8853.5,8859.3,8853.5,8859.3,34.55515781
2020-03-02 16:58:00+00:00,8859.2,8867.5,8858.5,8861.8,15.93597705
2020-03-02 16:59:00+00:00,8861.8,8864.1,8859.5,8859.5,39.398158
2020-03-02 17:00:00+00:00,8859.4,8859.4,8851.3,8855.9,11.88474039
2020-03-02 17:01:00+00:00,8855.3,8863.8,8855.0,8863.8,21.28365548
2020-03-02 17:02:00+00:00,8863.8,8865.1,8857.7,8860.8,27.990134
2020-03-02 17:03:00+00:00,8860.8,8879.5,8860.8,8874.8,34.04866276
2020-03-02 17:04:00+00:00,8875.9,8876.5,8867.2,8874.0,31.17805836
2020-03-02 17:05:00+00:00,8874.0,8880.0,8871.0,8872.4,12.18614366
2020-03-02 17:06:00+00:00,8872.4,8878.2,8866.3,8874.9,32.61573157
2020-03-02 17:07:00+00:00,8874.9,8876.1,8868.5,8868.5,25.35352555
2020-03-02 17:08:00+00:00,8867.9,8872.0,8867.8,8871.7,9.74729678
2020-03-02 17:09:00+00:00,8870.6,8870.9,8859.1,8859.1,11.44348502
2020-03-02 17:10:00+00:00,8859.0,8870.0,8855.7,8869.9,55.16300669
2020-03-02 17:11:00+00:00,8870.0,8874.1,8868.7,8870.8,19.18695939
2020-03-02 17:12:00+00:00,8870.2,8884.7,8870.2,8881.5,31.2890588
2020-03-02 17:13:00+00:00,8880.3,8881.0,8873.6,8875.8,32.43221851
2020-03-02 17:14:00+00:00,8876.2,8882.1,8876.2,8882.1,77.26043407
2020-03-02 17:15:00+00:00,8882.5,8882.5,8876.5,8877.1,41.75780148
2020-03-02 17:16:00+00:00,8877.2,8880.9,8877.1,8880.1,24.63529338
2020-03-02 17:17:00+00:00,8880.0,8880.6,8877.3,8879.4,18.76045
2020-03-02 17:18:00+00:00,8879.4,8894.6,8879.4,8890.4,98.20905049
2020-03-02 17:19:00+00:00,8891.3,8893.4,8885.8,8885.8,66.1665865
2020-03-02 17:20:00+00:00,8884.8,8895.6,8884.8,8893.2,68.86475312
2020-03-02 17:21:00+00:00,8893.2,8895.6,8891.1,8895.5,12.314568
2020-03-02 17:22:00+00:00,8895.5,8899.0,8895.5,8898.2,73.39863098
2020-03-02 17:23:00+00:00,8898.1,8899.0,8890.7,8898.5,55.90612339
2020-03-02 17:24:00+00:00,8898.6,8907.6,8898.6,8907.6,84.06129774
2020-03-02 17:25:00+00:00,8908.0,8918.6,8899.2,8899.2,71.24588718
2020-03-02 17:26:00+00:00,8899.2,8905.3,8893.6,8898.8,59.68765178
2020-03-02 17:27:00+00:00,8898.8,8905.5,8895.0,8905.4,91.90122338
2020-03-02 17:28:00+00:00,8905.4,8905.5,8899.4,8903.0,28.90753689
2020-03-02 17:29:00+00:00,8903.1,8904.8,8894.3,8897.4,70.58039472
2020-03-02 17:30:00+00:00,8898.0,8901.0,8878.2,8881.3,51.01618694
2020-03-02 17:31:00+00:00,8881.5,8894.7,8879.0,8893.3,23.57228167
2020-03-02 17:32:00+00:00,8893.3,8902.7,8892.2,8895.3,31.95218741
2020-03-02 17:33:00+00:00,8895.3,8895.3,8889.0,8890.2,24.99001679
2020-03-02 17:34:00+00:00,8890.3,8890.3,8888.2,8888.2,19.65900102
2020-03-02 17:35:00+00:00,8888.2,8891.4,8885.0,8891.3,163.79053701
2020-03-02 17:36:00+00:00,8891.3,8891.3,8859.9,8866.0,74.30844966
2020-03-02 17:37:00+00:00,8865.9,8874.9,8864.8,8873.8,10.68696712
2020-03-02 17:38:00+00:00,8873.9,8873.9,8868.6,8871.3,14.96911742
2020-03-02 17:39:00+00:00,8871.3,8873.0,8866.0,8867.3,32.89665478
2020-03-02 17:40:00+00:00,8867.6,8878.0,8867.6,8878.0,43.05409076
2020-03-02 17:41:00+00:00,8878.0,8885.7,8878.0,8885.6,32.67670238
2020-03-02 17:42:00+00:00,8885.6,8885.6,8868.8,8869.3,14.25734276
2020-03-02 17:43:00+00:00,8869.2,8869.2,8864.1,8864.1,34.98205707
2020-03-02 17:44:00+00:00,8864.2,8873.6,8864.1,8873.0,24.51908474
2020-03-02 17:45:00+00:00,8873.0,8873.4,8869.9,8872.2,24.33426088
2020-03-02 17:46:00+00:00,8872.5,8884.4,8872.1,8883.1,24.64446886
2020-03-02 17:47:00+00:00,8883.0,8884.3,8878.5,8882.6,123.31627803
2020-03-02 17:48:00+00:00,8882.6,8882.6,8873.4,8873.5,9.72861245
2020-03-02 17:49:00+00:00,8873.5,8874.9,8870.9,8873.7,25.4118734
2020-03-02 17:50:00+00:00,8873.8,8880.8,8873.8,8880.8,12.09976727
2020-03-02 17:51:00+00:00,8880.9,8881.3,8873.7,8876.4,27.16512018
2020-03-02 17:52:00+00:00,8877.4,8878.3,8870.9,8871.5,45.466418299999994
2020-03-02 17:53:00+00:00,8871.4,8871.5,8865.2,8867.5,11.04028413
2020-03-02 17:54:00+00:00,8867.5,8867.5,8862.0,8862.7,62.52789629
2020-03-02 17:55:00+00:00,8863.3,8865.2,8862.1,8863.9,41.20011408
2020-03-02 17:56:00+00:00,8863.8,8870.1,8861.1,8863.1,46.66059095
2020-03-02 17:57:00+00:00,8863.0,8863.0,8856.3,8857.9,23.392109299999998
2020-03-02 17:58:00+00:00,8857.9,8862.8,8856.1,8857.3,21.292924600000003
2020-03-02 17:59:00+00:00,8857.7,8869.7,8857.0,8868.1,60.37848954
2020-03-02 18:00:00+00:00,8868.3,8868.9,8858.3,8860.1,75.84920035
2020-03-02 18:01:00+00:00,8860.0,8867.0,8860.0,8864.7,40.94551608
2020-03-02 18:02:00+00:00,8864.6,8864.6,8855.4,8855.5,23.827287899999998
2020-03-02 18:03:00+00:00,8855.4,8856.3,8852.4,8855.9,49.56791429
2020-03-02 18:04:00+00:00,8856.6,8859.5,8854.1,8854.1,48.31812461
2020-03-02 18:05:00+00:00,8853.1,8868.5,8853.1,8867.0,17.45634426
2020-03-02 18:06:00+00:00,8867.0,8872.7,8864.0,8870.0,26.30970909
2020-03-02 18:07:00+00:00,8869.9,8873.6,8869.4,8873.6,31.79238983
2020-03-02 18:08:00+00:00,8873.6,8875.2,8869.3,8872.9,14.29250896
2020-03-02 18:09:00+00:00,8873.9,8874.7,8871.4,8874.7,11.65093907
2020-03-02 18:10:00+00:00,8874.8,8875.6,8870.0,8872.3,27.39640262
2020-03-02 18:11:00+00:00,8872.3,8872.3,8869.6,8871.1,42.77851244
2020-03-02 18:12:00+00:00,8871.2,8871.8,8863.0,8863.7,16.36648009
2020-03-02 18:13:00+00:00,8864.4,8871.7,8863.7,8864.3,26.82609124
2020-03-02 18:14:00+00:00,8864.1,8869.9,8863.8,8869.2,11.64460177
2020-03-02 18:15:00+00:00,8869.2,8869.7,8864.1,8864.2,3.63184496
2020-03-02 18:16:00+00:00,8864.6,8876.0,8864.3,8874.6,58.10111657
2020-03-02 18:17:00+00:00,8874.6,8881.3,8874.1,8875.7,21.35748411
2020-03-02 18:18:00+00:00,8876.1,8880.7,8875.8,8877.8,27.51971653
2020-03-02 18:19:00+00:00,8877.8,8885.2,8877.8,8881.6,22.9032089
2020-03-02 18:20:00+00:00,8881.8,8882.7,8871.7,8871.8,84.56734959
2020-03-02 18:21:00+00:00,8871.8,8878.9,8871.8,8877.5,16.28027186
2020-03-02 18:22:00+00:00,8877.5,8888.4,8877.4,8883.9,33.32481352
2020-03-02 18:23:00+00:00,8883.7,8883.7,8876.9,8877.6,78.26990859
2020-03-02 18:24:00+00:00,8877.9,8886.0,8877.9,8886.0,46.46334057
2020-03-02 18:25:00+00:00,8886.0,8886.0,8879.5,8882.9,26.12863276
2020-03-02 18:26:00+00:00,8882.9,8890.4,8882.7,8888.5,36.35456865
2020-03-02 18:27:00+00:00,8888.5,8890.9,8885.1,8885.2,26.43216465
2020-03-02 18:28:00+00:00,8885.4,8887.5,8878.1,8878.1,18.00126509
2020-03-02 18:29:00+00:00,8878.1,8887.6,8878.1,8880.5,32.07473834
2020-03-02 18:30:00+00:00,8881.4,8881.4,8876.1,8876.5,13.31444493
2020-03-02 18:31:00+00:00,8876.2,8876.2,8869.5,8870.8,42.89206196
2020-03-02 18:32:00+00:00,8870.9,8872.3,8867.6,8867.6,10.13123172
2020-03-02 18:33:00+00:00,8867.4,8871.9,8866.2,8869.9,14.9379269
2020-03-02 18:34:00+00:00,8869.9,8871.6,8865.4,8870.4,9.16125798
2020-03-02 18:35:00+00:00,8870.4,8870.4,8869.2,8869.5,5.55742463
2020-03-02 18:36:00+00:00,8869.6,8870.6,8867.1,8868.5,50.59790069
2020-03-02 18:37:00+00:00,8868.0,8868.0,8862.0,8862.9,12.6025533
2020-03-02 18:38:00+00:00,8862.9,8863.9,8859.8,8860.0,9.48776741
2020-03-02 18:39:00+00:00,8860.0,8862.5,8857.1,8857.2,58.25853693
2020-03-02 18:40:00+00:00,8857.2,8866.1,8857.2,8862.5,28.55264016
2020-03-02 18:41:00+00:00,8862.5,8863.7,8861.9,8862.2,12.68992159
2020-03-02 18:42:00+00:00,8862.2,8862.2,8857.0,8857.1,11.62951993
2020-03-02 18:43:00+00:00,8857.0,8857.0,8850.0,8852.1,32.59302249
2020-03-02 18:44:00+00:00,8852.9,8857.3,8851.8,8855.2,23.01187855
2020-03-02 18:45:00+00:00,8855.2,8856.2,8853.3,8855.2,2.34444165
2020-03-02 18:46:00+00:00,8856.1,8861.6,8856.1,8859.2,30.3560075
2020-03-02 18:47:00+00:00,8860.4,8860.4,8855.6,8860.1,14.04069481
2020-03-02 18:48:00+00:00,8860.1,8869.9,8860.0,8864.8,20.68015149
2020-03-02 18:49:00+00:00,8864.8,8864.8,8862.0,8862.1,11.52115034
